Cell ID,Birth Frame,Death Frame
1,1,51
2,1,121
3,1,78
4,1,6
5,1,6
6,1,75
7,1,101
8,1,38
9,1,175
10,1,89
11,1,27
12,1,64
13,1,71
14,1,74
15,1,69
16,1,106
17,1,60
18,1,123
19,1,41
20,1,107
21,1,133
22,1,175
23,1,175
24,1,130
25,1,48
26,1,35
27,1,148
28,1,120
29,1,100
30,1,120
31,1,141
32,1,148
33,1,140
34,1,175
35,1,62
36,1,5
37,1,99
38,1,152
39,1,82
40,1,99
41,1,53
42,1,38
43,1,141
44,1,166
45,1,63
46,1,175
47,1,175
48,1,22
49,1,136
50,1,59
51,1,51
52,1,81
53,1,101
54,1,175
55,1,123
56,1,175
57,1,112
58,1,175
59,1,130
60,1,175
61,1,49
62,1,132
63,1,160
64,1,87
65,1,118
66,1,175
67,1,147
68,1,6
69,1,78
70,1,130
71,1,72
72,1,71
73,1,109
74,1,175
75,1,1
76,1,175
77,1,175
78,1,66
79,1,116
80,1,175
81,1,12
82,1,94
83,1,129
84,1,111
85,1,80
86,1,118
87,1,175
88,1,62
89,1,17
90,1,40
91,1,139
92,1,147
93,1,175
94,1,99
95,1,144
96,1,88
97,1,175
98,1,175
99,1,175
100,1,129
101,1,79
102,1,159
103,1,136
104,1,124
105,1,175
106,1,71
107,1,165
108,1,87
109,1,129
110,1,125
111,1,175
112,1,84
113,1,93
114,1,172
115,1,160
116,1,86
117,1,52
118,1,164
119,1,9
120,1,73
121,1,175
122,1,117
123,1,56
124,1,170
125,1,44
126,1,117
127,1,119
128,1,57
129,1,160
130,1,97
131,1,63
132,1,75
133,1,99
134,1,172
135,1,46
136,1,174
137,1,143
138,1,107
139,1,175
140,1,130
141,1,42
142,1,160
143,1,59
144,1,72
145,1,52
146,1,175
147,1,64
148,1,119
149,1,113
150,1,131
151,1,99
152,1,105
153,1,175
154,1,32
155,1,125
156,1,175
157,1,105
158,1,75
159,1,92
160,1,111
161,1,112
162,1,160
163,1,175
164,1,152
165,1,130
166,1,175
167,1,87
168,1,162
169,1,44
170,1,75
171,1,82
172,1,142
173,1,105
174,1,115
175,1,22
176,1,64
177,1,175
178,1,118
179,1,87
180,1,139
181,1,147
182,1,152
183,1,175
184,1,168
185,1,175
186,1,89
187,1,52
188,1,144
189,1,101
190,1,106
191,1,152
192,1,52
193,1,175
194,1,55
195,1,84
196,1,175
197,1,140
198,1,118
199,1,135
200,1,36
201,1,175
202,1,166
203,1,68
204,1,164
205,1,83
206,1,1
207,1,175
208,1,106
209,1,175
210,1,67
211,1,142
212,1,132
213,1,33
214,1,49
215,1,23
216,1,72
217,1,154
218,1,110
219,1,60
220,1,87
221,1,60
222,1,165
223,1,138
224,1,175
225,1,170
226,1,6
227,1,34
228,1,175
229,1,124
230,1,97
231,1,175
232,1,95
233,1,62
234,1,134
235,1,33
236,1,18
237,1,102
238,1,80
239,1,41
240,1,58
241,1,1
242,1,86
243,1,175
244,1,116
245,1,175
246,1,116
247,1,76
248,1,175
249,1,34
250,1,127
251,1,45
252,1,110
253,1,120
254,1,96
255,1,88
256,1,61
257,1,62
258,1,63
259,1,60
260,1,6
261,1,66
262,1,125
263,1,38
264,1,175
265,1,91
266,1,56
267,1,150
268,1,145
269,1,122
270,1,57
271,1,121
272,1,175
273,1,166
274,1,26
275,1,27
276,1,147
277,1,175
278,1,155
279,1,98
280,1,49
281,1,102
282,1,39
283,1,74
284,1,14
285,1,118
286,1,3
287,1,86
288,2,13
289,2,4
290,2,2
291,2,2
292,2,6
293,3,3
294,3,4
295,3,28
296,3,3
297,3,3
298,3,22
299,4,7
300,4,6
301,5,5
302,5,5
303,6,6
304,6,8
305,6,6
306,6,6
307,6,7
308,7,7
309,8,45
310,8,8
311,8,8
312,8,10
313,10,11
314,10,11
315,10,10
316,10,10
317,11,26
318,11,11
319,11,14
320,11,11
321,12,26
322,12,13
323,12,12
324,13,15
325,13,56
326,13,13
327,14,14
328,14,14
329,14,20
330,14,14
331,15,77
332,15,19
333,15,15
334,15,17
335,16,88
336,16,18
337,17,17
338,17,19
339,17,17
340,17,20
341,17,18
342,18,18
343,18,18
344,18,18
345,18,18
346,19,30
347,19,55
348,20,20
349,20,23
350,20,79
351,21,23
352,21,23
353,22,23
354,22,28
355,22,24
356,22,26
357,22,134
358,23,24
359,24,28
360,24,24
361,24,28
362,24,25
363,25,25
364,25,25
365,26,168
366,26,26
367,26,26
368,26,26
369,26,30
370,26,30
371,26,27
372,27,28
